Input,Label
qfaomwialeraayorbuiiajluh,True
MIPSpdhnlDsD,False
agsxfyjdjowdkibnmkksgkmhhhc,True
LqcWXpIEgmfJlHlZECaVDmDKznc,False
mdehaktkrthgb,True
ciuFEhDElJLhczLekEQNsuusSLp,False
lgtscyjjalil,True
PWzgUchifxmgpkaylLCgumvRtO,False
wauznqihxlqxswxhmpvskr,True
QCILSiUfwuNtYiH,False
bpoubtuhdfeewuyjpxg,True
pPOtpuMmcbkNSjdKXHSUpqSVukd,False
ozervvdorkbinskx,True
lPBZFPNEeoSjUj,False
tipcwfyycp,True
jbEndGDJJFh,False
obdbzttbsjoqryuvnw,True
EkxEsylQauJGTsHDatt,False
ywuuwzozpxayl,True
xgiaLYFoyQJgTlVWHmroABrIrsbowq,False
swkdrrfbgrogmnerlzfvlwy,True
ZiEsPtRPBRdMqFhcPxKYJZqTdb,False
zcbcdpfippgcdcutysyyhie,True
VNAlDhPVCskMqvwrKtqbObsqhrx,False
fkqvdrlyeqplvhjjmgnk,True
tGESlmhvMTvzPyIA,False
fpdgdumeyxqqjkkvfvynsznucibz,True
NQqgTmuGsRtAMEvzHH,False
lqvhxqjnmsswpnd,True
fpgwutgVnH,False
xfludpgxuqtmjjajwmxvgl,True
ZUGWqRUXnpTcSbTpW,False
ktudczpmfakrb,True
mNFHCKbqvdXCkYDltjZIBsxquzSXZ,False
khbpwnwpzlzsxsfwmr,True
toVCKwDmoZYLHEuyJdqztWluXyAYB,False
xxyjspqaoihtpigrcioswvsan,True
rUBjbRrIPOVvezxeQQGtxI,False
gmlhvubliieetwgnzhhnsi,True
FDPgpQCsvQAPWuzTAdzOBqSRzcVThN,False
ffwsazrvcxcwgmygjv,True
KVGoFJmVkxjoKzicWOWjzjizfPF,False
ulwlczljeonmxslqljupghbblxrovc,True
EzrBEZHPIFWOgdyKBZIRLN,False
ljznryhxava,True
UmbyGKLAgJSpactESAOF,False
heghmyisvlgfyxedt,True
FxIEsTPUBZwjVoOLdTNmxH,False
iztyfqyhipehua,True
sJhZTPOuUwtvULYYWAP,False
mangkxgocsbkfyblpahtqcbx,True
HFyHtqCcqPoQdDKuMTEVdApuhZJEHh,False
covbpsqxwrgn,True
mFWHgZJiDRzkTipjGWFGCx,False
ghdfgngqgdstixohsnxs,True
EqbFDHaoijGCLhFjLpchLX,False
ftnsotwyybbevhpjlihmomngaw,True
xrmuDxKXjyNKh,False
mjnnfmcsezksyltacdytikebqdjfe,True
tzzBqfXxqHycsvXqKkxcewvVQ,False
icgkdevqnmvnbneyahfsrsp,True
smPTZkNskBLUVBhzyqfLSbVYAF,False
gbrgiqkgsidmukt,True
YSJfiHYQxATPqoLXOqTUXgUpb,False
zeiyarafcweanweiordbgtdpg,True
AwtSqDCCpKsUSNghYbSszkylDadGL,False
urgaddpeebjnxxlmaqyvicznkxci,True
gMBtKmjhyH,False
ilnlivzkcigiqoqolbarge,True
KaPjzCqiEyojkkGeA,False
qmyqghfhmthrkquey,True
XUEQGLExYhUJBlX,False
sucmwaggkjjkebvjmbuuo,True
GcUblwqOKGwfHrvkJL,False
jkaqczheucjubmetlominiakmg,True
lBdpDcRwoQKjTxbvgRxFUsrDT,False
ljexefnuxxuqzcwtcq,True
zEomWzSESNbrFwYFjgsakOb,False
wiavocwzcvkmrhekgouchbhpsh,True
HjxNrnJOmGk,False
zfiubaqkyvikgquenq,True
qkYgqtvExHafzZi,False
gemwyhwwuvndavxsbvpb,True
RQDxaoPaICkQhoCIKGxsBziHBSOLV,False
whmiyozuurghygsrejeef,True
JxsYQCnQwsZHzpjwTjXjtFsKfI,False
sycgoeajuasfwgsknwtlmwwdnox,True
moMWbhTfWpuDoSViVAT,False
pyssqillbdahunwbrkj,True
VZseOzkjSVHVNGirJgQHFoeEHwQZJJ,False
ffqqpcdgcsdgxbyj,True
auiqDBykbejtaORp,False
tyjnltculuxzhismpkqcyhq,True
wSePZlSDRqbBTZXBzjo,False
qklhhxjnuwzpvfymrezqbtdhz,True
VXnLoIGfACYYsXfThySNnoT,False
cksumdxcbbddjvcnyqh,True
xBqFfokuJEATRsOfudIYAn,False
iogybjizwvfgzmsrgwogruiwbl,True
mMgujeZsGV,False
