Input,Label
tzadkgl,True
0vlpv9e,False
fcozlvhuv,True
r8gwoell9emof,False
ayux2hvih9,False
xpexuftkj,True
vmpdtyj,True
qecprkmylu,True
cdvvofw,True
wyfuus,True
6koll,False
q4fa0p69jl7l,False
85sq629,False
unwu2p8pc,False
trdwplklznab,False
2afouka,False
iysxyi,True
o6estbk84so,False
sikzammvfwbt,True
labaqwo,True
ebssytwt,True
ldrcnuz,True
dpssdiveh,True
xxpfftnu,True
xfrepwylz,True
ziy5t,False
2nuj36o,False
mo02u6qjdwz4c,False
jifw59jygx9s8a8,False
sb34jv42cq,False
8etoxf1qvo,False
ituttuvdv,True
tlz2gurhd,False
46x4w2xwc,False
xl4puib,False
sxjwqeehqybnjnu,True
luhmaw,True
5208hziyoiidyf,False
lttbtykgqoozyg,True
ixlcnxujo,True
dbb1c85,False
axwz3o5j,False
ufnevqnoydsosjr,True
plujdz8i7vc59k5,False
mq89wk4y,False
i5hv4q8gwk,False
dddrmybqanopqo,True
tkiqgilmetsbysx,True
lqeesyan,True
nxqks,True
jtwzg,True
oe2060,False
jdmbwxixrexec,True
zmdj3mui3,False
gu4wki6kra5xe,False
axqxlycngcd,True
xnsntptv,True
itsvvvqrklwkxep,True
uknvmafhqlmkt,True
uofbyjxpfcdaf,True
ld7tqgguwfbx,False
xrpuauamny,True
whkqwea9,False
bxzwdzmjg,True
adslgsdku4gfti,False
hucvydug,True
ffrkhlbtcgdah,True
vmccsqxrkaaaluz,True
wn07frwfai,False
5hu0o,False
8ps1ip8,False
5cjwpazzdv06j,False
a5wfc,False
esrtcrfbbbfmf,True
tubxcwrizu,True
l1fsx01cp3aj1,False
39905m,False
svqfmshfjxn,True
hhklcquvpccizz,True
rjxnyxkqp,True
iho16gqovov1ed,False
tk8r2bnz,False
omfaqejzaseegie,True
waeyzzqcqva,True
nl3qz60221,False
ddquruaap,True
tvscdkgzk,True
cw5wv8,False
igbesxxux,True
37h45gj7lnipy,False
m8pr5grmtq7q6j,False
kofqf,True
zpcc0y,False
zamx49v2,False
evlvsdntfj,True
pctychqdbv,True
pjxpwvwdn,False
6sfz5hgvtrs,False
ghusoso58e4i0a,False
x7dy2hi9pfp,False
