Input,Label
tzadkgl,False
0vlpv9e,True
fcozlvhuv,False
r8gwoell9emof,True
ayux2hvih9,True
xpexuftkj,False
vmpdtyj,False
qecprkmylu,False
cdvvofw,False
wyfuus,False
6koll,True
q4fa0p69jl7l,True
85sq629,True
unwu2p8pc,True
trdwplklznab,True
2afouka,True
iysxyi,False
o6estbk84so,True
sikzammvfwbt,False
labaqwo,False
ebssytwt,False
ldrcnuz,False
dpssdiveh,False
xxpfftnu,False
xfrepwylz,False
ziy5t,True
2nuj36o,True
mo02u6qjdwz4c,True
jifw59jygx9s8a8,True
sb34jv42cq,True
8etoxf1qvo,True
ituttuvdv,False
tlz2gurhd,True
46x4w2xwc,True
xl4puib,True
sxjwqeehqybnjnu,False
luhmaw,False
5208hziyoiidyf,True
lttbtykgqoozyg,False
ixlcnxujo,False
dbb1c85,True
axwz3o5j,True
ufnevqnoydsosjr,False
plujdz8i7vc59k5,True
mq89wk4y,True
i5hv4q8gwk,True
dddrmybqanopqo,False
tkiqgilmetsbysx,False
lqeesyan,False
nxqks,False
jtwzg,False
oe2060,True
jdmbwxixrexec,False
zmdj3mui3,True
gu4wki6kra5xe,True
axqxlycngcd,False
xnsntptv,False
itsvvvqrklwkxep,False
uknvmafhqlmkt,False
uofbyjxpfcdaf,False
ld7tqgguwfbx,True
xrpuauamny,False
whkqwea9,True
bxzwdzmjg,False
adslgsdku4gfti,True
hucvydug,False
ffrkhlbtcgdah,False
vmccsqxrkaaaluz,False
wn07frwfai,True
5hu0o,True
8ps1ip8,True
5cjwpazzdv06j,True
a5wfc,True
esrtcrfbbbfmf,False
tubxcwrizu,False
l1fsx01cp3aj1,True
39905m,True
svqfmshfjxn,False
hhklcquvpccizz,False
rjxnyxkqp,False
iho16gqovov1ed,True
tk8r2bnz,True
omfaqejzaseegie,False
waeyzzqcqva,False
nl3qz60221,True
ddquruaap,False
tvscdkgzk,False
cw5wv8,True
igbesxxux,False
37h45gj7lnipy,True
m8pr5grmtq7q6j,True
kofqf,False
zpcc0y,True
zamx49v2,True
evlvsdntfj,False
pctychqdbv,False
pjxpwvwdn,True
6sfz5hgvtrs,True
ghusoso58e4i0a,True
x7dy2hi9pfp,True
