Input,Label
qfaomwialeraayorbuiiajluh,False
MIPSpdhnlDsD,True
agsxfyjdjowdkibnmkksgkmhhhc,False
LqcWXpIEgmfJlHlZECaVDmDKznc,True
mdehaktkrthgb,False
ciuFEhDElJLhczLekEQNsuusSLp,True
lgtscyjjalil,False
PWzgUchifxmgpkaylLCgumvRtO,True
wauznqihxlqxswxhmpvskr,False
QCILSiUfwuNtYiH,True
bpoubtuhdfeewuyjpxg,False
pPOtpuMmcbkNSjdKXHSUpqSVukd,True
ozervvdorkbinskx,False
lPBZFPNEeoSjUj,True
tipcwfyycp,False
jbEndGDJJFh,True
obdbzttbsjoqryuvnw,False
EkxEsylQauJGTsHDatt,True
ywuuwzozpxayl,False
xgiaLYFoyQJgTlVWHmroABrIrsbowq,True
swkdrrfbgrogmnerlzfvlwy,False
ZiEsPtRPBRdMqFhcPxKYJZqTdb,True
zcbcdpfippgcdcutysyyhie,False
VNAlDhPVCskMqvwrKtqbObsqhrx,True
fkqvdrlyeqplvhjjmgnk,False
tGESlmhvMTvzPyIA,True
fpdgdumeyxqqjkkvfvynsznucibz,False
NQqgTmuGsRtAMEvzHH,True
lqvhxqjnmsswpnd,False
fpgwutgVnH,True
xfludpgxuqtmjjajwmxvgl,False
ZUGWqRUXnpTcSbTpW,True
ktudczpmfakrb,False
mNFHCKbqvdXCkYDltjZIBsxquzSXZ,True
khbpwnwpzlzsxsfwmr,False
toVCKwDmoZYLHEuyJdqztWluXyAYB,True
xxyjspqaoihtpigrcioswvsan,False
rUBjbRrIPOVvezxeQQGtxI,True
gmlhvubliieetwgnzhhnsi,False
FDPgpQCsvQAPWuzTAdzOBqSRzcVThN,True
ffwsazrvcxcwgmygjv,False
KVGoFJmVkxjoKzicWOWjzjizfPF,True
ulwlczljeonmxslqljupghbblxrovc,False
EzrBEZHPIFWOgdyKBZIRLN,True
ljznryhxava,False
UmbyGKLAgJSpactESAOF,True
heghmyisvlgfyxedt,False
FxIEsTPUBZwjVoOLdTNmxH,True
iztyfqyhipehua,False
sJhZTPOuUwtvULYYWAP,True
mangkxgocsbkfyblpahtqcbx,False
HFyHtqCcqPoQdDKuMTEVdApuhZJEHh,True
covbpsqxwrgn,False
mFWHgZJiDRzkTipjGWFGCx,True
ghdfgngqgdstixohsnxs,False
EqbFDHaoijGCLhFjLpchLX,True
ftnsotwyybbevhpjlihmomngaw,False
xrmuDxKXjyNKh,True
mjnnfmcsezksyltacdytikebqdjfe,False
tzzBqfXxqHycsvXqKkxcewvVQ,True
icgkdevqnmvnbneyahfsrsp,False
smPTZkNskBLUVBhzyqfLSbVYAF,True
gbrgiqkgsidmukt,False
YSJfiHYQxATPqoLXOqTUXgUpb,True
zeiyarafcweanweiordbgtdpg,False
AwtSqDCCpKsUSNghYbSszkylDadGL,True
urgaddpeebjnxxlmaqyvicznkxci,False
gMBtKmjhyH,True
ilnlivzkcigiqoqolbarge,False
KaPjzCqiEyojkkGeA,True
qmyqghfhmthrkquey,False
XUEQGLExYhUJBlX,True
sucmwaggkjjkebvjmbuuo,False
GcUblwqOKGwfHrvkJL,True
jkaqczheucjubmetlominiakmg,False
lBdpDcRwoQKjTxbvgRxFUsrDT,True
ljexefnuxxuqzcwtcq,False
zEomWzSESNbrFwYFjgsakOb,True
wiavocwzcvkmrhekgouchbhpsh,False
HjxNrnJOmGk,True
zfiubaqkyvikgquenq,False
qkYgqtvExHafzZi,True
gemwyhwwuvndavxsbvpb,False
RQDxaoPaICkQhoCIKGxsBziHBSOLV,True
whmiyozuurghygsrejeef,False
JxsYQCnQwsZHzpjwTjXjtFsKfI,True
sycgoeajuasfwgsknwtlmwwdnox,False
moMWbhTfWpuDoSViVAT,True
pyssqillbdahunwbrkj,False
VZseOzkjSVHVNGirJgQHFoeEHwQZJJ,True
ffqqpcdgcsdgxbyj,False
auiqDBykbejtaORp,True
tyjnltculuxzhismpkqcyhq,False
wSePZlSDRqbBTZXBzjo,True
qklhhxjnuwzpvfymrezqbtdhz,False
VXnLoIGfACYYsXfThySNnoT,True
cksumdxcbbddjvcnyqh,False
xBqFfokuJEATRsOfudIYAn,True
iogybjizwvfgzmsrgwogruiwbl,False
mMgujeZsGV,True
